HHID,HV001,HV002,ta_id,urban_rural,HV246A,HV246D,HV246E,HV246G,HV248,HV245,HV271,HV251,HV204,HV206,HV226,HV219,HV243A,HV207,hhlivestock,livestock,sick,land,wealth,orphans,water,electricity,cooking,femalehh,cellphone,radio,urbanruralscore,capacity,na.rm
      709  3,"709","3","21",R,"4","4","0","0","0",,"236256","1","50","1","7","1","1","1","8","3.734601987936454","0.1474810976127772",,"3.827882083085549","0.469968566816753","0.7001020061203672","3.710833120585482","3.609805837617369","1.128026505819387","0","1.877714042914808","0",,"0"
      709  5,"709","5","21",R,"0","7","0","0","1",,"43","6","5","0","8","1","0","1","7","3.669696712258942","0.01206354600288845",,"2.677767394443972","0.01240336420015292","3.354301258075485","0","0.06933763861154778","1.128026505819387","1.482129956227955","1.877714042914808","0",,"0"
      709  9,"709","9","21",R,"0","0","0","0","0",,"-39604","0","20","0","8","2","1","1","0","0","0.1474810976127772",,"1.905530541160479","0.8923625860164812","1.81553893233594","0","0.06933763861154778","0","0","1.877714042914808","0",,"0"
      709 14,"709","14","21",R,"0","0","0","0","0",,"-34935","0","30","0","8","1","0","1","0","0","0.1474810976127772",,"2.019369637244075","0.8923625860164812","1.035532131927916","0","0.06933763861154778","1.128026505819387","1.482129956227955","1.877714042914808","0",,"0"
      709 15,"709","15","21",R,"0","0","0","0","0",,"-1491","0","15","0","8","1","1","1","0","0","0.1474810976127772",,"2.654999575227253","0.8923625860164812","2.331859911594696","0","0.06933763861154778","1.128026505819387","0","1.877714042914808","0",,"0"
      709 20,"709","20","21",R,"0","2","0","0","0",,"-40207","2","90","0","8","1","0","1","2","2.825418401155382","0.1474810976127772",,"1.888369722198624","0.2577521026250956","0.1606596395783747","0","0.06933763861154778","1.128026505819387","1.482129956227955","1.877714042914808","0",,"0"
      709 22,"709","22","21",R,"0","1","0","0","0",,"-67775","6","60","0","8","2","0","1","1","2.578030753546853","0.1474810976127772",,"0.8259281284512786","0.01240336420015292","0.2395443726623597","0","0.06933763861154778","0","1.482129956227955","1.877714042914808","0",,"0"
      709 31,"709","31","21",R,"0","15","0","0","0",,"41660","0","20","0","8","1","1","1","15","3.917254268966103","0.1474810976127772",,"3.139920142723643","0.8923625860164812","1.81553893233594","0","0.06933763861154778","1.128026505819387","0","1.877714042914808","0",,"0"
      709 33,"709","33","21",R,"0","0","0","0","0",,"-67142","2","15","0","8","2","0","0","0","0","0.1474810976127772",,"0.8517543114433778","0.2577521026250956","2.331859911594696","0","0.06933763861154778","0","1.482129956227955","0","0",,"0"
      709 36,"709","36","21",R,"0","3","0","0","0",,"-67809","0","10","0","8","1","0","0","3","3.100161413643701","0.1474810976127772",,"0.8235494010704273","0.8923625860164812","2.713362801768106","0","0.06933763861154778","1.128026505819387","1.482129956227955","0","0",,"0"
      710 23,"710","23","201",R,"0","0","0","0","0",,"-64488","4","40","0","8","2","0","1","0","0","0.1474810976127772",,"0.9856426811655764","0.06558491207204145","0.847160829649779","0","0.06933763861154778","0","1.482129956227955","1.877714042914808","0",,"0"
      710 31,"710","31","201",R,"0","0","0","0","0",,"62699","1","15","1","8","1","1","1","0","0","0.1474810976127772",,"3.292328604196755","0.469968566816753","2.331859911594696","3.710833120585482","0.06933763861154778","1.128026505819387","0","1.877714042914808","0",,"0"
