"","HHID","HV001","HV002","ta_id","urban_rural","HV246A","HV246D","HV246E","HV246G","HV248","HV245","HV271","HV251","HV204","HV206","HV226","HV219","HV243A","HV207","hhlivestock","livestock","sick","land","wealth","orphans","water","electricity","cooking","femalehh","cellphone","radio","urbanruralscore","capacity","na.rm"
"2982","      609 36",609,36,82,1,0,0,0,0,0,NA,111924,0,0,1,8,1,1,1,0,0,0.147481097612777,NA,3.53954634270665,0.892362586016481,3.62801768106086,3.71083312058548,0.0693376386115478,1.12802650581939,0,1.87771404291481,3.53393934245179,NA,FALSE
"2983","      609 37",609,37,82,1,0,0,0,0,0,NA,300786,0,10,1,1,1,1,0,0,0,0.147481097612777,NA,3.89431654065075,0.892362586016481,2.71336280176811,3.71083312058548,3.94697709988529,1.12802650581939,0,0,3.53393934245179,NA,FALSE
"2984","      610 18",610,18,3,0,0,0,0,0,0,NA,-39017,0,30,0,8,1,1,0,0,0,0.147481097612777,NA,1.92184181462917,0.892362586016481,1.03553213192792,0,0.0693376386115478,1.12802650581939,0,0,0,NA,FALSE
"2985","      610 19",610,19,3,0,0,3,0,0,0,NA,-23581,0,20,0,8,1,1,0,3,3.1001614136437,0.147481097612777,NA,2.27423328519242,0.892362586016481,1.81553893233594,0,0.0693376386115478,1.12802650581939,0,0,0,NA,FALSE
"2986","      610 34",610,34,3,0,0,0,0,0,0,NA,-55103,0,120,0,8,1,0,0,0,0,0.147481097612777,NA,1.39172542689661,0.892362586016481,0.0459027541652499,0,0.0693376386115478,1.12802650581939,1.48212995622795,0,0,NA,FALSE
"2987","      611  8",611,8,5,0,0,3,0,1,0,NA,-1662,0,20,0,8,1,1,0,4,3.29708605895846,0.147481097612777,NA,2.6531305751423,0.892362586016481,1.81553893233594,0,0.0693376386115478,1.12802650581939,0,0,0,NA,FALSE
"2988","      611 11",611,11,5,0,7,4,0,2,0,NA,-53533,0,10,0,8,1,0,0,13,3.89227763146717,0.147481097612777,NA,1.45459179339054,0.892362586016481,2.71336280176811,0,0.0693376386115478,1.12802650581939,1.48212995622795,0,0,NA,FALSE
"2989","      611 23",611,23,5,0,0,2,0,1,0,NA,-2343,0,60,0,8,1,1,1,3,3.1001614136437,0.147481097612777,NA,2.64242630192847,0.892362586016481,0.23954437266236,0,0.0693376386115478,1.12802650581939,0,1.87771404291481,0,NA,FALSE
"2990","      611 31",611,31,5,0,0,0,0,0,0,NA,-33175,0,40,0,8,1,0,1,0,0,0.147481097612777,NA,2.05878854812675,0.892362586016481,0.847160829649779,0,0.0693376386115478,1.12802650581939,1.48212995622795,1.87771404291481,0,NA,FALSE
"2991","      611 35",611,35,5,0,0,1,0,0,0,NA,-61583,1,60,0,8,2,0,0,1,2.57803075354685,0.147481097612777,NA,1.11834168719735,0.469968566816753,0.23954437266236,0,0.0693376386115478,0,1.48212995622795,0,0,NA,FALSE
"2992","      612 17",612,17,255,0,0,0,0,0,1,NA,-56079,5,40,0,8,1,0,0,0,0,0.0120635460028885,NA,1.3526463342112,0.0280350012743182,0.847160829649779,0,0.0693376386115478,1.12802650581939,1.48212995622795,0,0,NA,FALSE
"2993","      613 30",613,30,246,0,0,0,0,0,0,NA,-24133,0,180,0,8,1,1,0,0,0,0.147481097612777,NA,2.26369892107722,0.892362586016481,0.0132607956477389,0,0.0693376386115478,1.12802650581939,0,0,0,NA,FALSE
"2994","      617 25",617,25,21,0,0,0,0,0,0,NA,-65778,0,30,0,8,1,0,0,0,0,0.147481097612777,NA,0.923625860164812,0.892362586016481,1.03553213192792,0,0.0693376386115478,1.12802650581939,1.48212995622795,0,0,NA,FALSE
"2995","      618 15",618,15,210,0,0,0,0,0,0,NA,42457,0,3,0,8,1,1,1,0,0,0.147481097612777,NA,3.14620677937304,0.892362586016481,3.58721523291397,0,0.0693376386115478,1.12802650581939,0,1.87771404291481,0,NA,FALSE
"2996","      618 18",618,18,210,0,0,0,0,0,0,NA,141864,0,30,0,7,1,1,1,0,0,0.147481097612777,NA,3.64964743862034,0.892362586016481,1.03553213192792,0,3.60980583761737,1.12802650581939,0,1.87771404291481,0,NA,FALSE
"2997","      618 19",618,19,210,0,0,0,0,1,0,NA,25372,0,10,0,8,2,1,0,1,2.57803075354685,0.147481097612777,NA,2.99073995412454,0.892362586016481,2.71336280176811,0,0.0693376386115478,0,0,0,0,NA,FALSE
"2998","      619 14",619,14,127,0,0,0,0,0,0,NA,-18073,1,60,0,8,2,0,0,0,0,0.147481097612777,NA,2.38399456290884,0.469968566816753,0.23954437266236,0,0.0693376386115478,0,1.48212995622795,0,0,NA,FALSE
"2999","      620  6",620,6,70,0,0,0,0,0,0,NA,-44462,0,20,0,8,1,1,1,0,0,0.147481097612777,NA,1.76705462577521,0.892362586016481,1.81553893233594,0,0.0693376386115478,1.12802650581939,0,1.87771404291481,0,NA,FALSE
"3000","      620  8",620,8,70,0,0,0,0,0,0,NA,-48716,4,30,0,8,1,0,1,0,0,0.147481097612777,NA,1.62908843768584,0.0655849120720415,1.03553213192792,0,0.0693376386115478,1.12802650581939,1.48212995622795,1.87771404291481,0,NA,FALSE
